MMM.NY
ACCO.NY
ABT.NY
ANF.NY
ACN.NY
ACRE.NY
AMC.NY
AES.NY
AET.NY
AFL.NY
A.NY
GADS.NY
APD.NY
ARES.NY
AJX.NY
AAP.NY
ALV.NY
ATI.NY
AGN.NY
ALL.NY
ANH.NY
ALSN.NY
MO.NY
AMX.NY
AEE.NY
AEP.NY
AXP.NY
AIG.NY
AMT.NY
AMP.NY
ABC.NY
AMG.NY
APH.NY
APC.NY
ADC.NY
AON.NY
APA.NY
AIV.NY
APO-B.NY
AAP.NY
AM.NY
ADM.NY
AIZ.NY
T.NY
ADS.NY
ADNT.NY
AN.NY
AZO.NY
AVB.NY
AVY.NY
AVP.NY
BHGE.NY
BLL.NY
BAC.NY
BK.NY
BCR.NY
BAX.NY
BBT.NY
BE.NY
BDX.NY
BB.NY
BMS.NY
BRK.B.NY
BBY.NY
BIG.NY
BIG.NY
BLK.NY
HRB.NY
BMA.NY
BA.NY
BWA.NY
BXP.NY
BSX.NY
BMY.NY
BRC.NY
BF.B.NY
CHRA.NY
C.NY
CVA.NY
COG.NY
CALX.NY
CPB.NY
COF.NY
CAH.NY
CFG.NY
KMX.NY
CCL.NY
CAT.NY
CBD.NY
CBS.NY
CEL.NY
CNP.NY
CTL.NY
CEQP.NY
CF.NY
SCHW.NY
CHK.NY
CVX.NY
CMG.NY
CB.NY
CI.NY
CIM.NY
CSV.NY
CS.NY
C.NY
CTX.NY
CLF.NY
CLX.NY
CMD.NY
CMS.NY
COG.NY
KO.NY
CCC.UN.NY
CTS.NY
CL.NY
CMCM.NY
CMA.NY
CS.NY
CAG.NY
COP.NY
CNX.NY
ED.NY
STZ.NY
CBD.NY
GLW.NY
CORR.NY
CVG.NY
COTY.NY
CCI.NY
CSV.NY
CMI.NY
CVS.NY
DHI.NY
DHR.NY
DRI.NY
DVA.NY
DF.NY
DE.NY
DELL.NY
DNR.NY
XPO.NY
DVN.NY
DUK.NY
DO.NY
DTK.NY
DFS.NY
DIS.NY
DLR.NY
D.NY
RRD.NY
DOV.NY
DOV.NY
DPLO.NY
DTE.NY
DCT.NY
DUK.NY
DNB.NY
ETB.NY
EMN.NY
ETN.NY
EB.NY
ECL.NY
EIX.NY
EW.NY
DYN.NY
ELY.NY
EMR.NY
ESV.NY
ETR.NY
EOG.NY
EQT.NY
EFX.NY
EQR.NY
EL.NY
EXC.NY
EXP.NY
EXP.NY
ESRT.NY
XOM.NY
FFC.NY
FDC.NY
FAF.NY
FII.NY
FDX.NY
FIS.NY
FIT.NY
FHN.NY
FSK.NY
FE.NY
FIS.NY
FLHK.NY
FLS.NY
FLR.NY
FMC.NY
FTI.NY
F.NY
FRT.NY
FOR.NY
BEN.NY
FCX.NY
FTK.NY
GME.NY
GCI.NY
GPS.NY
GD.NY
GE.NY
GIS.NY
GPC.NY
GNW.NY
GIL.NY
GS.NY
GSL.NY
GOLF.NY
GWW.NY
HAL.NY
HOG.NY
HAL.NY
HRS.NY
HIG.NY
HAL.NY
HCP.NY
HCLP.NY
HNP.NY
HP.NY
HES.NY
HPQ.NY
HD.NY
HON.NY
HRL.NY
HSC.NY
HST.NY
HCA.NY
HUM.NY
HASI.NY
ITW.NY
IR.NY
TEF.NY
INT.NY
ICE.NY
IBM.NY
IFF.NY
IGT.NY
IP.NY
IPG.NY
INT.NY
ISP.NY
IVZ.NY
IRM.NY
JBL.NY
JEC.NY
JDD.NY
JNJ.NY
JCI.NY
JOF.NY
JPM.NY
JNPR.NY
K.NY
KEY.NY
KMB.NY
KIM.NY
KMI.NY
KKR.NY
KSS.NY
KEYS.NY
KR.NY
LLL.NY
LH.NY
LPX.NY
LM.NY
LEG.NY
LEN.NY
LUB.NY
LXFT.NY
LHO.NY
LLY.NY
LTC.NY
LNC.NY
LLL.NY
LMT.NY
L.NY
LNN.NY
LOW.NY
LSI.NY
MTB.NY
M.NY
MRO.NY
MPC.NY
MANU.NY
MMC.NY
MAS.NY
MA.NY
MAS.NY
MKC.NY
MCD.NY
MHO.NY
MCK.NY
MIY.NY
MWA.NY
MDT.NY
MRK.NY
MET.NY
PCN.NY
MCD.NY
MTZ.NY
MSD.NY
MOLC.NY
TAP.NY
MOLC.NY
MNR.NY
MCO.NY
MS.NY
MOS.NY
MSI.NY
MUR.NY
MYI.NY
NBR.NY
NCZ.NY
NOV.NY
NSR.NY
NFJ.NY
NWHM.NY
NFX.NY
NEM.NY
NWN.NY
NEE.NY
NKE.NY
NI.NY
NE.NY
NBL.NY
JWN.NY
NSC.NY
NTR.NY
NOC.NY
NTR.NY
NRG.NY
NUE.NY
NUV.NY
NYT.NY
ORI.NY
OXY.NY
OMC.NY
OKE.NY
ORCL.NY
OI.NY
PBT.NY
PLD.NY
PH.NY
PCN.NY
PAYC.NY
BTU.NY
JCP.NY
PBC.NY
POL.NY
PEO.NY
PKI.NY
PRGO.NY
PFE.NY
PCG.NY
PM.NY
PSX.NY
PNW.NY
PXD.NY
PBI.NY
PCK.NY
PNC.NY
RL.NY
PPG.NY
PPL.NY
PWR.NY
PCN.NY
PCK.NY
PFE.NY
PG.NY
PGR.NY
PLD.NY
PRU.NY
PEG.NY
PSA.NY
PHM.NY
QEP.NY
PWR.NY
PZC.NY
DGX.NY
RRC.NY
RTN.NY
RHT.NY
RF.NY
RSG.NY
RAD.NY
RHI.NY
ROK.NY
COL.NY
ROP.NY
ROP.NY
RDC.NY
R.NY
SWX.NY
SAH.NY
CRM.NY
SNAP.NY
SCD.NY
SLB.NY
SNE.NY
STWD.NY
SEE.NY
SHG.NY
SRE.NY
SHW.NY
SHW.NY
SPG.NY
SLG.NY
SJM.NY
SNA.NY
SO.NY
LUV.NY
SWN.NY
SE.NY
S.NY
STI.NY
SWK.NY
SPLP-T.NY
SBS.NY
HOS.NY
STT.NY
SRC.NY
SYK.NY
SUN.NY
STI.NY
SYK.NY
SYY.NY
TRNO.NY
TGT.NY
TEL.NY
TDY.NY
THC.NY
TDC.NY
TEO.NY
TSN.NY
TX.NY
TXT.NY
HSY.NY
TRV.NY
TMO.NY
TIF.NY
TWTR.NY
TVPT.NY
THW.NY
TJX.NY
TMK.NY
TSS.NY
TRI.NY
TSN.NY
TY.NY
USB.NY
UNP.NY
UNH.NY
UPS.NY
X.NY
UTX.NY
UNM.NY
UPS.NY
VFC.NY
VLO.NY
VAR.NY
VTR.NY
VRS.NY
VZ.NY
VHI.NY
V.NY
VNO.NY
VMC.NY
WMT.NY
WAC.NY
DIS.NY
WPM.NY
WM.NY
WAT.NY
WPG.NY
WLL.NY
WFC.NY
WD.NY
WU.NY
WY.NY
WHR.NY
WFC.NY
WMB.NY
WIA.NY
WEC.NY
WPX.NY
WY.NY
WYND.NY
XEC.NY
XRX.NY
XIN.NY
XIN.NY
XYL.NY
YEXT.NY
YUM.NY
ZF.NY
ZF.NY
