AALB.AS
ABN.AS
AD.AS
ADYEN.AS
AGN.AS
AKZA.AS
AMG.AS
APAM.AS
ARCAD.AS
ASM.AS
ASML.AS
ASRNL.AS
ATC.AS
AXS.AS
BAMNB.AS
BESI.AS
BINCK.AS
BOKA.AS
CCE.AS
DSM.AS
ECMPA.AS
ESP.AS
FFARM.AS
FLOW.AS
FUR.AS
GLPG.AS
GTO.AS
GVNV.AS
HEIA.AS
HEIJM.AS
HEIO.AS
IMEU.AS
INGA.AS
KA.AS
KARD.AS
KDS.AS
KPN.AS
LIGHT.AS
MT.AS
NIBC.AS
NN.AS
OCI.AS
ORDI.AS
PHARM.AS
PHIA.AS
PNL.AS
RAND.AS
RDSA.AS
REN.AS
ROOD.AS
SBMO.AS
TKWY.AS
TOM2.AS
UNA.AS
URW.AS
VPK.AS
WES.AS
WHA.AS
WKL.AS
500E.AS
AAA.AS
ABEEP.AS
ACCEL.AS
ACOMO.AS
AEX.AS
AGHY.AS
ALFEN.AS
ALX.AS
ATRS.AS
AVIAO.AS
BBED.AS
BFIT.AS
BOLS.AS
BRNL.AS
BSGR.AS
CLB.AS
CRBN.AS
CTAC.AS
DDIF.AS
DL.AS
DPA.AS
DSC1.AS
ECT.AS
FNG.AS
HAL.AS
HDG.AS
HHGF.AS
IAEX.AS
IJAWA.AS
IMCD.AS
INIWA.AS
INTER.AS
INVER.AS
IPRP.AS
ISPY.AS
KESVC.AS
KGPFN.AS
KVW.AS
NRP.AS
NSI.AS
PBD.AS
PPLA.AS
REINA.AS
ROBO.AS
ROQI.AS
SBIO.AS
SIFG.AS
SLIGR.AS
SPXS.AS
TGET.AS
THISR.AS
TWEKA.AS
UCEU.AS
UNIA.AS
VASTN.AS
VEON.AS
